embedding_X,embedding_Y,cluster,short_name,variety,missingness,heterozygosity
26.13097,10.428225,0,1000247,,0.05691854759568204,0.09309309309309309
26.041477,10.509713,0,1000052,,0.07262021589793916,0.02902902902902903
26.057749,10.487032,0,1000051,,0.07850834151128558,0.03403403403403404
26.055851,10.493567,0,1000091,,0.08832188420019627,0.056056056056056056
26.077394,10.426353,0,1000092,,0.09617271835132483,0.06006006006006006
26.639713,10.2887945,0,1000008,,0.052011776251226695,0.01001001001001001
26.647404,10.258965,0,1000087,,0.053974484789008834,0.013013013013013013
26.698183,10.281887,0,1000088,,0.050049067713444556,0.011011011011011011
26.65343,10.281394,0,1000023,,0.05299313052011776,0.01001001001001001
26.734543,10.261321,0,1000022,,0.047105004906771344,0.013013013013013013
26.687088,10.282165,0,1000009,,0.053974484789008834,0.018018018018018018
26.159979,10.420897,0,1000005,,0.04612365063788027,0.01001001001001001
26.238138,10.382025,0,1000031,,0.05593719332679097,0.014014014014014014
26.258303,10.279646,0,1000018,,0.04906771344455348,0.015015015015015015
26.137505,10.443465,0,1000053,,0.053974484789008834,0.016016016016016016
26.098818,10.479258,0,1000241,,0.05986261040235525,0.01001001001001001
26.174482,10.423577,0,1000239,,0.058881256133464184,0.013013013013013013
26.135157,10.461067,0,1000054,,0.040235525024533855,0.009009009009009009
26.27975,10.298968,0,1000001,,0.07654563297350343,0.026026026026026026
26.243109,10.307606,0,1000019,,0.04317958783120707,0.01001001001001001
26.24512,10.323431,0,1000030,,0.05299313052011776,0.021021021021021023
26.236874,10.302865,0,1000261,,0.06771344455348381,0.021021021021021023
26.237219,10.30012,0,1000259,,0.058881256133464184,0.02002002002002002
25.868767,9.971041,0,1000180,,0.08537782139352307,0.026026026026026026
25.905315,10.011276,0,1000178,,0.08243375858684986,0.025025025025025027
25.900108,9.997479,0,1000176,,0.07654563297350343,0.023023023023023025
25.903877,9.995113,0,1000174,,0.08537782139352307,0.028028028028028028
1.517184,3.7118928,1,1000084,,0.06771344455348381,0.024024024024024024
1.502266,3.6670425,1,1000083,,0.07654563297350343,0.03203203203203203
1.2797011,3.487116,1,1000113,,0.09617271835132483,0.025025025025025027
1.2826284,3.4571712,1,1000114,,0.11874386653581943,0.035035035035035036
1.1947776,3.3453789,1,1000002,,0.0549558390578999,0.43043043043043044
1.2075454,3.4052138,1,1000040,,0.047105004906771344,0.4214214214214214
1.1674964,3.342848,1,1000096,,0.053974484789008834,0.009009009009009009
1.1439285,3.2986562,1,1000095,,0.05789990186457311,0.01001001001001001
1.2034235,3.3487165,1,1000128,,0.0549558390578999,0.34534534534534533
1.1460335,3.277482,1,1000126,,0.05593719332679097,0.4214214214214214
0.4721057,3.8170516,1,1000664,,0.058881256133464184,0.011011011011011011
0.49203604,3.8100126,1,1000624,,0.0647693817468106,0.013013013013013013
